Date,Temperature-Maximum,Temperature-Minimum,Temperature-Average,Temperature-Departure,HDD,CDD
2015/8/15,92,60,76,11.5,0,11
2015/8/16,90,61,75.5,11,0,11
2015/8/17,76,60,68,3.5,0,3
2015/8/18,76,59,67.5,2.9,0,3
2015/8/19,74,59,66.5,1.9,0,2
2015/8/20,69,61,65,0.3,0,0
2015/8/21,71,59,65,0.3,0,0
2015/8/22,73,59,66,1.3,0,1
2015/8/23,74,60,67,2.2,0,2
2015/8/24,72,60,66,1.2,0,1
2015/8/25,71,58,64.5,-0.3,0,0
2015/8/26,77,57,67,2.1,0,2
2015/8/27,86,61,73.5,8.6,0,9
2015/8/28,93,64,78.5,13.6,0,14
2015/8/29,75,65,70,5.1,0,5
2015/8/30,74,63,68.5,3.5,0,4
2015/8/31,76,60,68,3,0,3
